job,seconds
slurm-6055458,604805.0
slurm-6130375,119640.0
slurm-6235217,113187.0
slurm-6130374,604820.0
slurm-6111326,362509.0
slurm-6111316,604807.0
slurm-6186492,604811.0
slurm-6048828,604821.0
slurm-6048826,604808.0
slurm-6254371,377563.0
slurm-6048827,604801.0
slurm-6048829,604816.0
slurm-6111366,604818.0
slurm-6203165,604827.0
slurm-6130377,604800.0
slurm-6111325,604807.0
slurm-6254359,438812.0
slurm-6111312,604811.0
slurm-6186478,604815.0
slurm-6048825,900006.0
slurm-6048822,900006.0
slurm-6186476,604820.0
slurm-6048823,900006.0
slurm-6186477,423494.0
slurm-6233954,604805.0
slurm-6203166,604816.0
